Type,Number,Transaction Date,Last Payment Date,Amt. Paid (USD)
Invoice,18733,04/30/2025,05/13/2025,5260.00
Invoice,18734,04/30/2025,05/13/2025,5325.00
Invoice,18735,04/30/2025,05/13/2025,5260.00
Invoice,18737,04/30/2025,05/13/2025,5260.00
Invoice,18738,04/30/2025,05/13/2025,5260.00
Invoice,18739,04/30/2025,05/13/2025,5260.00
Invoice,18740,04/30/2025,05/13/2025,5260.00
Invoice,18741,04/30/2025,05/13/2025,5260.00
Invoice,18742,04/30/2025,05/13/2025,5260.00
Invoice,18743,04/30/2025,05/13/2025,5260.00
Invoice,18744,04/30/2025,05/13/2025,5260.00
Invoice,18746,04/30/2025,05/13/2025,5260.00
Invoice,18747,04/30/2025,05/13/2025,5260.00
Invoice,18730,04/30/2025,05/13/2025,5260.00
Invoice,18731,04/30/2025,05/13/2025,5260.00
Invoice,18736,04/30/2025,05/13/2025,5325.00
Invoice,18745,04/30/2025,05/13/2025,5260.00
Invoice,18710,04/30/2025,,0.00
Invoice,18709,04/30/2025,05/12/2025,498.63
Invoice,18624,04/30/2025,,0.00
Invoice,18769,04/30/2025,05/12/2025,3075.00
Invoice,18621,04/30/2025,05/01/2025,1290.19
Invoice,18678,04/30/2025,05/09/2025,392.17
Invoice,18620,04/30/2025,05/12/2025,1770.00
Invoice,18677,04/30/2025,06/03/2025,4575.00
Invoice,18618,04/30/2025,05/05/2025,704.00
Invoice,18676,04/30/2025,06/03/2025,4175.00
Invoice,18617,04/30/2025,05/19/2025,2276.00
Invoice,18675,04/30/2025,06/03/2025,9540.00
Invoice,18768,04/30/2025,06/17/2025,1200.96
Invoice,18688,04/30/2025,,0.00
Invoice,18687,04/30/2025,,0.00
Invoice,18686,04/30/2025,05/06/2025,1383.00
Invoice,18757,04/30/2025,,0.00
Invoice,18604,04/30/2025,,0.00
Invoice,18658,04/30/2025,06/09/2025,1479.65
Invoice,18767,04/30/2025,06/17/2025,525.00
Invoice,18766,04/30/2025,06/17/2025,6202.27
Invoice,18673,04/30/2025,06/23/2025,3500.00
Invoice,18614,04/29/2025,05/05/2025,1360.00
Invoice,18611,04/29/2025,05/05/2025,1360.00
Invoice,18609,04/29/2025,05/22/2025,13116.00
Invoice,18607,04/28/2025,05/09/2025,7985.50
Invoice,18605,04/28/2025,05/16/2025,2390.00
Invoice,18698,04/28/2025,05/28/2025,3983.33
Invoice,18765,04/28/2025,06/17/2025,525.00
Invoice,18764,04/28/2025,06/17/2025,7560.05
Invoice,18588,04/26/2025,,0.00
Invoice,18606,04/25/2025,06/20/2025,8442.94
Invoice,18569,04/25/2025,04/24/2025,5360.00
Invoice,18585,04/25/2025,04/24/2025,5360.00
Invoice,18600,04/25/2025,05/08/2025,7825.00
Invoice,18629,04/25/2025,05/05/2025,5560.00
Invoice,18630,04/25/2025,05/05/2025,5460.00
Invoice,18631,04/25/2025,05/05/2025,5260.00
Invoice,18632,04/25/2025,05/05/2025,5260.00
Invoice,18633,04/25/2025,05/05/2025,6025.00
Invoice,18634,04/25/2025,05/05/2025,5260.00
Invoice,18635,04/25/2025,05/05/2025,5325.00
Invoice,18637,04/25/2025,05/05/2025,5260.00
Invoice,18638,04/25/2025,05/05/2025,5715.00
Invoice,18639,04/25/2025,05/05/2025,5260.00
Invoice,18640,04/25/2025,05/05/2025,5260.00
Invoice,18641,04/25/2025,05/05/2025,5260.00
Invoice,18642,04/25/2025,05/05/2025,5260.00
Invoice,18643,04/25/2025,05/05/2025,5260.00
Invoice,18644,04/25/2025,05/05/2025,5325.00
Invoice,18645,04/25/2025,05/05/2025,5460.00
Invoice,18646,04/25/2025,05/05/2025,5260.00
Invoice,18647,04/25/2025,05/05/2025,5260.00
Invoice,18648,04/25/2025,05/05/2025,5260.00
Invoice,18649,04/25/2025,05/05/2025,5325.00
Invoice,18650,04/25/2025,05/05/2025,5260.00
Invoice,18651,04/25/2025,05/05/2025,5260.00
Invoice,18652,04/25/2025,05/05/2025,5260.00
Invoice,18653,04/25/2025,05/05/2025,5260.00
Invoice,18654,04/25/2025,05/05/2025,5260.00
Invoice,18655,04/25/2025,05/05/2025,5260.00
