date,description,amount
12/01/2023,Deposit 000007181214160,33795.00
12/04/2023,Preauthorized Credit SPACE PLUS USA L SENDER 231204 687460262 113000025629633,10384.38
12/04/2023,Deposit 000007181244360,9150.00
12/05/2023,Deposit 000007181291330,31911.75
12/08/2023,Deposit 000007181350670,4510.00
12/08/2023,Deposit 000007181352970,6050.00
12/08/2023,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000381,28825.00
12/08/2023,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000437,29122.25
12/11/2023,Preauthorized Credit INTERLINK MARKET PAYMENT 231211 1190492 043000094670711,5502.33
12/11/2023,Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000044,2203.00
12/12/2023,Deposit 000007181426210,15109.00
12/13/2023,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14682-14683-1 4684-14691-14692-1 4733-14737-14749 021000020973059,52287.00
12/15/2023,Preauthorized Credit SPACE PLUS USA L SENDER 231215 689805982 113000026407862,5399.23
12/15/2023,Deposit 000007181486250,92215.25
12/18/2023,Wire Transfer-in IBDA ALQASR COBUYI IBDA ALQASR CO 000000000000071,2628.00
12/19/2023,Preauthorized Credit PAYCARGO ACHPAYMENT 231218 BATCH 5454579 081000607079365,142.48
12/21/2023,Preauthorized Credit PAYCARGO ACHPAYMENT 231220 BATCH 5463478 081000609341583,2000.50
12/21/2023,Deposit 000007181581260,70830.00
12/22/2023,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000086,9094.24
12/28/2023,Deposit 000007181661570,35840.62
12/29/2023,Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000009,5525.00
01/02/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14750-14784-1 4786-14790-14792-1 4795-14844 021000029235218,72318.11
01/02/2024,Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000060,17976.94
01/03/2024,Deposit 000007181731820,1377.57
01/03/2024,Wire Transfer-in 1/EASY FREIGHT C A 1/EASY FREIGHT C A 000000000000013,10847.80
01/04/2024,Deposit 000007181760450,69419.82
01/05/2024,Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000203,825.00
01/08/2024,Wire Transfer-in ATIMAR AUTO IMPORT ATIMAR AUTO IMPORT MR SRL 000000000000286,903.00
01/10/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 240109 BATCH 5517982 081000605374505,3870.50
01/10/2024,Deposit 000007181872670,40825.94
01/12/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 240111 BATCH 5527888 081000607836871,1757.50
01/12/2024,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000209,29100.00
01/12/2024,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000210,31513.02
01/12/2024,Deposit 000007181932060,39420.68
01/16/2024,Deposit 000007181975110,21440.00
01/16/2024,Wire Transfer-in SIAS LOGISTICS LLC SIAS LOGISTICS LLC 000000000000508,36610.39
01/18/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000478,6440.63
01/18/2024,Deposit 000007182014300,29749.00
01/22/2024,Preauthorized Credit INTERLINK MARKET PAYMENT 240122 1356744 043000091934318,6625.01
01/23/2024,Preauthorized Credit PAYCARGO ACHPAYMENT 240122 BATCH 5561255 081000605861187,1850.00
01/23/2024,Wire Transfer-in 1/C.T.I. S.R.L.UNI 1/C.T.I. S.R.L. 000000000000023,435.00
01/24/2024,Deposit 000007182097280,39623.00
01/26/2024,Wire Transfer-in UNITED SHIPPING HU UNITED SHIPPING HU NGARIA KFT 000000000000052,606.08
01/26/2024,Deposit 000007182141620,3000.00
01/26/2024,Deposit 000007182121810,18736.56
01/29/2024,Preauthorized Credit SPACE PLUS USA L SENDER 240129 697915154 113000028731187,17740.85
01/29/2024,Wire Transfer-in HAITI NURSING FOUN HAITI NURSING FOUN DATION 000000000000430,3570.00
01/30/2024,Deposit 000007182176760,15773.92
01/30/2024,"Wire Transfer-in GOLD COAST CUSTOM GOLD COAST CUSTOM AND TRADING, CORP 000000000000304",20300.00
02/01/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14883 - 14965 - 14966 - 14967 - 14968 021000024296921,53655.00
02/01/2024,Deposit 000007182222880,30891.53
02/02/2024,Deposit 000007182246650,3426.85
02/06/2024,Preauthorized Credit SPACE PLUS USA L SENDER 240206 699306864 113000029338168,3306.45
02/07/2024,Preauthorized Credit MAERSK A/S 1003019418 240207 10008100024684 111000027105324,1850.00
02/07/2024,"Wire Transfer-in ROMEU MEXICO, S.A. ROMEU MEXICO, S.A. DE C.V. 000000000000299",150.00
02/07/2024,"Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES), SRL 000000000000165",3250.00
02/07/2024,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000188,19400.00
02/07/2024,Wire Transfer-in OMEGA TECH SAOMEGA OMEGA TECH SA 000000000000187,28816.13
02/08/2024,Deposit 000007182360340,49307.00
02/09/2024,Deposit 000007182388290,14725.96
02/12/2024,Deposit 000007182408540,4090.00
02/13/2024,Preauthorized Credit INTERLINK MARKET PAYMENT 240213 1450726 043000098545316,6101.97
02/14/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 14995 - 14996 - 15029 - 15042 - 15047 - 15054 021000021249705,70423.63
02/14/2024,Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000040,7656.79
02/15/2024,Deposit 000007182478310,68765.00
02/16/2024,Preauthorized Credit SPACE PLUS USA L SENDER 240216 702001066 113000029936027,14854.25
02/16/2024,Wire Transfer-in 1/SUPRICOMSABANCO 1/SUPRICOMSA 000000000000310,1725.00
02/20/2024,Deposit 000007182535920,30164.05
02/23/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000233,6258.57
02/26/2024,Deposit 000007182615190,3950.00
02/26/2024,Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000189,6258.00
02/27/2024,Preauthorized Credit CAPITAL LOGISTIC MILENA 240227 6811688495 211274451378512,1045.00
02/27/2024,Deposit 000007182626120,10245.00
02/28/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15057 - 15058 - 15059 - 15060 - 15061 - 15077 - 1 5124 - 15137 - 151 021000027191509,72818.00
02/28/2024,Deposit 000007182657920,47525.00
03/11/2024,Wire Transfer-in 1/EASY FREIGHT C A 1/EASY FREIGHT C A 000000000000007,3562.50
03/13/2024,Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000116,4350.00
03/13/2024,Deposit 000007182918690,34952.59
03/15/2024,Wire Transfer-in GOLDEN HOLDERS AND GOLDEN HOLDERS AND TRADERS SA 000000000000198,2994.00
03/15/2024,Deposit 000007182969380,62750.00
03/19/2024,Preauthorized Credit SPACE PLUS USA L SENDER 240319 707530166 113000021787696,13985.69
03/19/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV15247-15248-151 39-15140-15143-152 01-15202-15218-152 19-15235-15343-152 021000023912715,74533.00
03/20/2024,Deposit 000007183022690,18975.00
03/20/2024,"Wire Transfer-in OMEGA TECH, S.A.BA OMEGA TECH, S.A. 000000000000467",22125.00
03/20/2024,"Wire Transfer-in OMEGA TECH, S.A.BA OMEGA TECH, S.A. 000000000000462",27932.46
03/21/2024,"Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES), SRL 000000000000458",3200.00
03/22/2024,Deposit 000007183052440,100250.00
03/25/2024,Deposit 000007183082770,6008.03
03/25/2024,"Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A, S.A. 000000000000525",10112.15
03/26/2024,Wire Transfer-in 1/C.T.I. S.R.L.UNI 1/C.T.I. S.R.L. 000000000000044,912.52
03/27/2024,Preauthorized Credit CAPITAL LOGISTIC MILENA 240327 6811688495 211274457570027,1015.00
03/29/2024,Preauthorized Credit INELEC CORPORATI SENDER 240329 709629122 113000022347849,372.20
03/29/2024,Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15249-15283-1 5284-15348-15320-1 5321-15322 021000021194033,61780.00
03/29/2024,Deposit 000007183146740,2854.88
03/29/2024,Beginning balance,0.00
04/01/2024,'Deposit 000007183180400,85445.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000058,-95.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000057,0.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000099,0.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000068,0.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000107,0.00
04/01/2024,Check 2236 000007095124730,0.00
04/01/2024,Check 2263 000007095110660,0.00
04/03/2024,'Preauthorized Credit PAYCARGO ACHPAYMENT 240402 BATCH 5769359 081000606794508,4075.00
04/03/2024,'Deposit 000007183227400,28808.50
04/03/2024,'Deposit 000007183237280,57100.00
04/03/2024,'Preauthorized Wd CAPITAL ONE MOBILE PMT 240402 3X8O9WE375NJ5SB 056073615729857,0.00
04/03/2024,'Preauthorized Wd VISA PAYMENT 240403 091000011795607,0.00
04/03/2024,'Preauthorized Wd MERCHANT BNKCD DISCOUNT 240403 938206002884 026008810524308,0.00
04/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240403 001713100000137,0.00
04/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240403 001713100000138,0.00
04/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240403 001713100000155,0.00
04/03/2024,Check 2268 000007061263810,0.00
04/03/2024,Check 2269 000007061263800,0.00
04/03/2024,Check 2270 000007061262700,0.00
04/03/2024,'Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. LTD 000000000000477,0.00
04/03/2024,'Online Intl Wire TAIZHOU SUTECH POW TAIZHOU SUTECH POWER MacHINERY 000000000000478,0.00
04/03/2024,'Online Intl Wire MINGKUN INTERNATIO MINGKUN INTERNATIONAL LOGISTICS LTD 000000000000476,0.00
04/04/2024,'Wire Transfer-in CHAX PR LLCBP24040 CHAX PR LLC 000000000000281,13309.50
04/04/2024,Check 2273 000007061345400,0.00
04/04/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00
04/05/2024,'Preauthorized Credit INELEC CORPORATI SENDER 240405 711373692 113000022873930,444.20
04/05/2024,'Preauthorized Credit SPACE PLUS USA L SENDER 240405 711782334 113000022903095,3713.44
04/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240405 001306320000034,0.00
04/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240405 001306320000037,0.00
04/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240405 001306320000012,0.00
04/05/2024,Check 2271 000007095435830,0.00
04/05/2024,'Online Domestic Wire CYZERG LLCTD BANK CYZERG LLC 000000000000393,0.00
04/05/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000561,0.00
04/05/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000392,0.00
04/08/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15323 - 15336 - 15352 - 15367 - 15370 - 15371 - 1 5518 - 15519 021000022597047,52561.63
04/08/2024,'Deposit 000007183305860,9487.45
04/08/2024,'Preauthorized Wd AMWINS GRP BEN INS PREMIU 240408 091000014272250,0.00
04/08/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240405 BATCH 5784403 081000600440757,0.00
04/08/2024,'Preauthorized Wd MAGAYA ACH 7868459150 240408 0970001826 026073187080165,0.00
04/08/2024,'Online Domestic Wire FORDPOINTER SHIPPI FORDPOINTER SHIPPING (N.Y.) INC 000000000000475,0.00
04/09/2024,'Deposit 000007183339880,18595.00
04/09/2024,'Preauthorized Wd MAERSK A/S 4390002899 240408 004390002899 111000022355838,0.00
04/09/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240408 BATCH 5786140 081000601870915,0.00
04/10/2024,'Deposit 000007183369440,85650.00
04/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240410 001703030000115,0.00
04/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240410 001703030000131,0.00
04/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240410 001703030000149,0.00
04/10/2024,'Online Domestic Wire COSCO SHIPPING LIN COSCO SHIPPING LINES INC. 000000000000416,0.00
04/10/2024,'Online Domestic Wire EXPRESS GLOBAL USA EXPRESS GLOBAL USA INC. DBA GRUDEN 000000000000415,0.00
04/10/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000414,0.00
04/11/2024,'Preauthorized Wd LEASE DIRECT WEB PAY 240411 82175040 043000099838729,0.00
04/11/2024,'Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240411 021214895368151,0.00
04/12/2024,'Deposit 000007183416010,35573.18
04/12/2024,'Preauthorized Wd JOHN HANCOCK MAN PAYMENT TRN*1*E29763876\ 028000081054773,0.00
04/12/2024,'Preauthorized Wd MASS MUTUAL INS. PREMIUM 240412 021000028662397,0.00
04/12/2024,'Preauthorized Wd TECH CARGO LLC ACH 240412 001151460000014,0.00
04/12/2024,'Online Intl Wire GLOBUS TRANSITOS P GLOBUS TRANSITOS PVT LTD 000000000000094,0.00
04/12/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000093,0.00
04/12/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00
04/15/2024,'Deposit 000007183438030,2000.00
04/15/2024,'Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000049,2045.50
04/15/2024,'Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISING AND DISTRIBUTIO 000000000000241,6352.48
04/15/2024,'Preauthorized Wd MAERSK A/S 4350002830 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000027691370,0.00
04/15/2024,'Preauthorized Wd TECH CARGO LLC ACH 240415 001715050000042,0.00
04/15/2024,Check 2275 000007096005600,0.00
04/16/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240415 BATCH 5807204 081000608050233,0.00
04/16/2024,Check 2276 000007096064590,0.00
04/16/2024,Check 2278 000007096072700,0.00
04/17/2024,'Deposit 000007183482110,63220.00
04/18/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240417 BATCH 5816620 081000600514530,0.00
04/18/2024,Check 2277 000007062249530,0.00
04/18/2024,'Maintenance Fee ANALYSIS ACTIVITY FOR 03/24 000000000000000,0.00
04/19/2024,'Online Domestic Wire EVERGREEN SHIPPING EVERGREEN SHIPPING AGENCY (AMERICA) 000000000000476,0.00
04/19/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000477,0.00
04/19/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00
04/22/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV - 15382-15405- 15406-15407-15408- 15409-15426-15454- 15439-15440-15450 021000029159849,66608.63
04/22/2024,'Deposit 000007183552950,9652.25
04/22/2024,'Preauthorized Wd TECH CARGO LLC ACH 240422 001713310000052,0.00
04/22/2024,'Preauthorized Wd TECH CARGO LLC ACH 240422 001713310000014,0.00
04/22/2024,'Preauthorized Wd TECH CARGO LLC ACH 240422 001713310000080,0.00
04/22/2024,'Online Domestic Wire KRG LOGISTICA LTDA KRG LOGISTICA LTDA 000000000000464,0.00
